"N010947343","Cannenburch 110, Lelystad"
"N012738383","Kleffensstraat 10, 6842 CV, Arnhem"
"N386000009","Schadijk 27, 3905 XA VEENENDAAL"
"N386000025","Bloemweg 4, 4286 EJ ALMKERK"
"N386000033","Wiggersbosweg 25, 7525 PR ENSCHEDE"
"N386000041","Hoofdstraat 32, 6051 AL MAASBRACHT"
"N386000053","Kamilleveld 64, 2492 KH 'S-GRAVENHAGE"
"N386000087","Vlamingstraat 2, 2611 KW DELFT"
"N386000090","Wegtersweg 36, 7556 BR HENGELO OV"
"N386000108","Nic. Beetslaan 70, 2985 VH RIDDERKERK"
"N386000129","Braillestraat 12, 2691 HX 'S-GRAVENZANDE"
"N386000145","Ezelsveldlaan 61, 2611 RV DELFT"
"N386000157","Stationsstraat 18, 9285 NH BUITENPOST"
